colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
ARTESANOS,INDEPENDENCIA,919,44200,Guadalajara,ARTESANOS INDEPENDENCIA 919 44200 Guadalajara,20.6868335,-103.3572848
LA FLORIDA,FLORAL,15,45234,zapopan,LA FLORIDA FLORAL 15 45234 zapopan,20.597604,-103.4244467
U H EL SAUZ INF,JAIME TORRES B,3090,44987,Guadalajara,U H EL SAUZ INF JAIME TORRES B 3090 44987 Guadalajara,20.6286263,-103.3919446
CIRCUNVAL VALLARTA,REFORMA,2749,44680,Guadalajara,CIRCUNVAL VALLARTA REFORMA 2749 44680 Guadalajara,20.6809709,-103.3854452
VILLA FONTANA DIAMANTE,FUENTE BRILLANT,1730,45200,zapopan,VILLA FONTANA DIAMANTE FUENTE BRILLANT 1730 45200 zapopan,20.7792648,-103.4708867
VICTOR HUGO,PRIVADA COLON,150,45190,zapopan,VICTOR HUGO PRIVADA COLON 150 45190 zapopan,20.7212215,-103.3545682
LA FLORESTA DEL COLLI,BOULEVARD PUERT,5430,45116,zapopan,LA FLORESTA DEL COLLI BOULEVARD PUERT 5430 45116 zapopan,20.6467406,-103.4677957
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,BENITO JUAREZ JUAN MANUEL RUV 1992 45199 Guadalajara,20.7349255,-103.3399585
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,OBLATOS PONIENTE JUAN PABLO II 3165 44700 Guadalajara,20.6958496,-103.2980962
SAN CARLOS,LOS ANGELES,171,44460,Guadalajara,SAN CARLOS LOS ANGELES 171 44460 Guadalajara,20.6751707,-103.3473385
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,HOGARES GUADALAJARA CIRCUNVALACION 258 44340 Guadalajara,20.689097,-103.3284089
EL BRISE#O,CONSTELACION,7,45236,zapopan,EL BRISE#O CONSTELACION 7 45236 zapopan,20.622299,-103.4352826
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,INDEPENDENCIA ROGELIO BACON 2280 44290 Guadalajara,20.7113239,-103.3320885
REAL DE VALDEPE?S,RINCONADA DEL C,1327,45130,zapopan,REAL DE VALDEPE?S RINCONADA DEL C 1327 45130 zapopan,20.756436,-103.400611
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,VALENTIN GOMEZ FARIA CANUTO ELIAS 3414 44977 Guadalajara,20.6191343,-103.3630249
HERMOSA PROVIN ZO TE,TELEFONISTAS,3331,44770,Guadalajara,HERMOSA PROVIN ZO TE TELEFONISTAS 3331 44770 Guadalajara,20.6684351,-103.2856733
BLANCO Y CUELLAR,EMILIO RABAZA,2132,44730,Guadalajara,BLANCO Y CUELLAR EMILIO RABAZA 2132 44730 Guadalajara,20.6795279,-103.3046447
U H ATLAS,RIO VOLGA,1386,44870,Guadalajara,U H ATLAS RIO VOLGA 1386 44870 Guadalajara,20.6468582,-103.3269652
JARDINES DE LA CRUZ,ISLA MADAGASCAR,3111,44950,Guadalajara,JARDINES DE LA CRUZ ISLA MADAGASCAR 3111 44950 Guadalajara,20.6386379,-103.3861274
COLINAS DE ATEMAJAC,AV AURELIO ORTE,1176,45170,zapopan,COLINAS DE ATEMAJAC AV AURELIO ORTE 1176 45170 zapopan,20.7208854,-103.3674014
VICENTE GUERRERO,C CEDROS,15,45134,zapopan,VICENTE GUERRERO C CEDROS 15 45134 zapopan,20.76045,-103.4237244
VILLAS SAN IGNACIO,PRIV LUIS G MON,337,45180,zapopan,VILLAS SAN IGNACIO PRIV LUIS G MON 337 45180 zapopan,20.7346756,-103.3710032
LOMAS DE MIRAMAR,PUERTO TAMPICO,80,45060,zapopan,LOMAS DE MIRAMAR PUERTO TAMPICO 80 45060 zapopan,20.6401759,-103.4491199
EL MANANTIAL S REFOR,AVDE LA PATRIA,202,44470,Guadalajara,EL MANANTIAL S REFOR AVDE LA PATRIA 202 44470 Guadalajara,20.6209342,-103.3499186
JARDINES DE LA PAZ,TEJEDORES,569,44860,Guadalajara,JARDINES DE LA PAZ TEJEDORES 569 44860 Guadalajara,20.6456144,-103.3027032
2024-03-18 00:00:00,NATIVIDAD MACIA,1326,44960,Guadalajara,45369 NATIVIDAD MACIA 1326 44960 Guadalajara,20.6333595,-103.369541
HDA SAN ISIDRO,LA VILLA,455,45147,zapopan,HDA SAN ISIDRO LA VILLA 455 45147 zapopan,20.6719563,-103.416501
NUEVO MEXICO,COPALITA,2711,45138,zapopan,NUEVO MEXICO COPALITA 2711 45138 zapopan,20.7552947,-103.4358244
MIRAVALLE,MAURICIO CAMPOS,512,44990,Guadalajara,MIRAVALLE MAURICIO CAMPOS 512 44990 Guadalajara,20.6095034,-103.3469693
VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,VILLAS DE GADALUPE AV PATRIA 4177 44720 Guadalajara,20.6895609,-103.2851073
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,TALPITA SANTO TOMAS 1786 44719 Guadalajara,20.6835307,-103.3103183
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS GA 4468 45050 zapopan,20.6569105,-103.4128895
"FRACC, LOS MOLINOS",CTO OBSIDIANA,39,45200,zapopan,"FRACC, LOS MOLINOS CTO OBSIDIANA 39 45200 zapopan",20.8476145,-103.4219418
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,LADRON DE GUEVARA AVENIDA AMERICA 620 44600 Guadalajara,20.6823254,-103.3775019
FRACC CUSPIDE,SAN MATEO 1155,27,45200,zapopan,FRACC CUSPIDE SAN MATEO 1155 27 45200 zapopan,20.7943709,-103.4676263
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN MAIPO 340 44250 Guadalajara,20.7418207,-103.3153473
MORELOS,PELICANO,1272,44910,Guadalajara,MORELOS PELICANO 1272 44910 Guadalajara,20.6508209,-103.361163
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,BOSQUES D LA CANTERA PRIV OPALO 17 44306 Guadalajara,20.7157293,-103.3146951
LAS AGUILAS,RIO TOMATLAN,800,45080,zapopan,LAS AGUILAS RIO TOMATLAN 800 45080 zapopan,20.6259866,-103.4079802
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,U H EL ZALATE JOSE FERNANDEZ 1123 44760 Guadalajara,20.6790639,-103.2732636
OBLATOS,AV JUAN PABLO L,3165,44700,Guadalajara,OBLATOS AV JUAN PABLO L 3165 44700 Guadalajara,20.6747187,-103.3255216
RNDA DE PAZ,ALBANILES,543,44860,Guadalajara,RNDA DE PAZ ALBANILES 543 44860 Guadalajara,20.6480574,-103.3077865
HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN FUJIYAMA 4413 44250 Guadalajara,20.7390409,-103.3189799
MARAVILLA,SANTA JULIA,1334,44700,Guadalajara,MARAVILLA SANTA JULIA 1334 44700 Guadalajara,20.6971899,-103.3050758
JARDINES DE LA CRUZ,ISLA ASENCION,3108,44950,Guadalajara,JARDINES DE LA CRUZ ISLA ASENCION 3108 44950 Guadalajara,20.6375951,-103.3810856
LOMAS DE MIRAMAR,URANIO,31,45060,zapopan,LOMAS DE MIRAMAR URANIO 31 45060 zapopan,20.6391341,-103.4439519
VILLA FONTANA DIAMANTE,AV LAS TORRES,1896,45200,zapopan,VILLA FONTANA DIAMANTE AV LAS TORRES 1896 45200 zapopan,20.7744077,-103.4756926
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,SAN JUAN DE OCOTAN MIGUEL MIRAMON 13 45019 zapopan,20.7069491,-103.4540669
EL BRISE?,PASEO DE LA MAT,200,45236,zapopan,EL BRISE? PASEO DE LA MAT 200 45236 zapopan,20.6193793,-103.4352826
FRACC JARDINES DE BELEN,TORONJA,41,45200,zapopan,FRACC JARDINES DE BELEN TORONJA 41 45200 zapopan,20.8127107,-103.482546
OBLATOS PONIENTE,HACIENDA LA GAV,3208,44700,Guadalajara,OBLATOS PONIENTE HACIENDA LA GAV 3208 44700 Guadalajara,20.7023208,-103.2829192
AMERICANA,COLONIAS,221,44160,Guadalajara,AMERICANA COLONIAS 221 44160 Guadalajara,20.6717775,-103.3630608
VILLAS SAN IGNACIO,PABLO QUIROGA,215,45180,zapopan,VILLAS SAN IGNACIO PABLO QUIROGA 215 45180 zapopan,20.724594,-103.3668962
LOMAS DL VALLE VI UN,CANCER,3992,45129,zapopan,LOMAS DL VALLE VI UN CANCER 3992 45129 zapopan,20.6888135,-103.406389
SAN ISIDRO EJIDAL,NUEVO MEXICO,250,45147,zapopan,SAN ISIDRO EJIDAL NUEVO MEXICO 250 45147 zapopan,20.7266188,-103.3981284
JARDINES DE LA CRUZ,REYES CATOLICOS,2151,44950,Guadalajara,JARDINES DE LA CRUZ REYES CATOLICOS 2151 44950 Guadalajara,20.6486223,-103.3785285
MESA COLORADA PTE,ANAHUAC,52,45189,zapopan,MESA COLORADA PTE ANAHUAC 52 45189 zapopan,20.7758971,-103.3514666
TRANSITO,AV CIRCUNVALANC,479,44298,Guadalajara,TRANSITO AV CIRCUNVALANC 479 44298 Guadalajara,20.7007339,-103.338378
PRADOS TEPEYAC,PRADO DE LAS RO,308,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS RO 308 45050 zapopan,20.6569105,-103.4128895
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,U H FOVISSSTE ESTADI LISBOA 28 44307 Guadalajara,20.7105563,-103.3247998
LA ESTRADA,HIDALAGO,6,45200,zapopan,LA ESTRADA HIDALAGO 6 45200 zapopan,20.7992474,-103.4773028
ALTAMIRA,AV AMERICA,580,45160,zapopan,ALTAMIRA AV AMERICA 580 45160 zapopan,20.7122558,-103.3821956
UNIDAD MEXICO,CDA QUERETARO,278,45120,zapopan,UNIDAD MEXICO CDA QUERETARO 278 45120 zapopan,20.6719563,-103.416501
VIGIA I,HERRADURA,242,45140,zapopan,VIGIA I HERRADURA 242 45140 zapopan,20.7327359,-103.3937991
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,COLINAS DEL REY AV TORREMOLINOS 3500 45130 zapopan,20.7529511,-103.4073257
COUNTRY CLUB,AV JORGE ALVARE,1535,44610,Guadalajara,COUNTRY CLUB AV JORGE ALVARE 1535 44610 Guadalajara,20.7021029,-103.367393
EJIDAL LOMA BONITA,PEDRO MORENO,3205,45085,zapopan,EJIDAL LOMA BONITA PEDRO MORENO 3205 45085 zapopan,20.6306388,-103.4035
VIGIA I,DEL CORRAL,604,45140,zapopan,VIGIA I DEL CORRAL 604 45140 zapopan,20.7316505,-103.3952503
2024-03-18 00:00:00,FAJA DE ORO,1783,44960,Guadalajara,45369 FAJA DE ORO 1783 44960 Guadalajara,20.6350171,-103.3781856
MARAVILLA,MESA DEL NORTE,1272,44700,Guadalajara,MARAVILLA MESA DEL NORTE 1272 44700 Guadalajara,20.6995569,-103.304327
HDA SAN ISIDRO,EJIDO,570,45147,zapopan,HDA SAN ISIDRO EJIDO 570 45147 zapopan,20.7311616,-103.398173
EL FORTIN,ALAMO,1359,45066,zapopan,EL FORTIN ALAMO 1359 45066 zapopan,20.6283228,-103.4699635
LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,LA PERLA PEDRO LANDAZURI 733 44360 Guadalajara,20.6828464,-103.3325044
ARTESANOS,GENERAL EULOGIO,712,44200,Guadalajara,ARTESANOS GENERAL EULOGIO 712 44200 Guadalajara,20.6868335,-103.3572848
LOMAS DEL GALLO,FERNANDO SOLIS,1338,44760,Guadalajara,LOMAS DEL GALLO FERNANDO SOLIS 1338 44760 Guadalajara,20.6791063,-103.2705275
ARENALES TAPATIOS,AV GUADALUPE,132,45066,zapopan,ARENALES TAPATIOS AV GUADALUPE 132 45066 zapopan,20.6667157,-103.3938876
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,MIRAVALLE II PEDRO PATINO 643 44990 Guadalajara,20.6072553,-103.350488
LOMAS DE MIRAMAR,PUERTO CHAMELA,314,45060,zapopan,LOMAS DE MIRAMAR PUERTO CHAMELA 314 45060 zapopan,20.6379988,-103.4611916
DIVISION DEL NORTE,SILVINA REMBOA,3050,44230,Guadalajara,DIVISION DEL NORTE SILVINA REMBOA 3050 44230 Guadalajara,20.7238915,-103.3364848
SANTA FE,EMILIANO ZAPATA,574,45168,zapopan,SANTA FE EMILIANO ZAPATA 574 45168 zapopan,20.7154469,-103.3926668
BARRANQUITAS,PINO SUAREZ,879,44270,Guadalajara,BARRANQUITAS PINO SUAREZ 879 44270 Guadalajara,20.6751707,-103.3473385
SANTA ANA TEPETITLAN,HIDALGO,35,45230,zapopan,SANTA ANA TEPETITLAN HIDALGO 35 45230 zapopan,20.6208879,-103.4560404
CONDOMINIO MALAGA,AV CENTRAL,1351,45117,zapopan,CONDOMINIO MALAGA AV CENTRAL 1351 45117 zapopan,20.6927846,-103.432489
FEDERALISMO,MONTE HIMALAYA,1416,44350,Guadalajara,FEDERALISMO MONTE HIMALAYA 1416 44350 Guadalajara,20.6915679,-103.3171196
HIGUERILLAS,MARIANO RODRIGU,2669,44470,Guadalajara,HIGUERILLAS MARIANO RODRIGU 2669 44470 Guadalajara,20.6327983,-103.3489234
SAN MARCOS,CANTERA,819,44330,Guadalajara,SAN MARCOS CANTERA 819 44330 Guadalajara,20.698316,-103.3132516
DIVISION DEL NORTE,TERUEL,3693,44230,Guadalajara,DIVISION DEL NORTE TERUEL 3693 44230 Guadalajara,20.6751707,-103.3473385
REVOLUCION SEGUNDA SECCION,REVOLUCION,51,45200,zapopan,REVOLUCION SEGUNDA SECCION REVOLUCION 51 45200 zapopan,20.8271097,-103.4344083
MEZQUITAN COUNTRY,DIAGONAL NAJERA,1876,44260,Guadalajara,MEZQUITAN COUNTRY DIAGONAL NAJERA 1876 44260 Guadalajara,20.6923623,-103.3656108
REAL QUINTAS DEL VALLE,CIRCUITO REAL S,0,45138,zapopan,REAL QUINTAS DEL VALLE CIRCUITO REAL S 0 45138 zapopan,20.7531957,-103.4360243
LAGOS D OTE ZONA TET,LICURGO,336,44770,Guadalajara,LAGOS D OTE ZONA TET LICURGO 336 44770 Guadalajara,20.6751707,-103.3473385
EL COLLY URBANO I,VOLCAN VESUBIO,2321,45070,zapopan,EL COLLY URBANO I VOLCAN VESUBIO 2321 45070 zapopan,20.6413488,-103.4276284
JARDINES DEL COUNTRY,ENRIQUE DIAZ DE,2336,44210,Guadalajara,JARDINES DEL COUNTRY ENRIQUE DIAZ DE 2336 44210 Guadalajara,20.7070511,-103.3601728
EL COLLY URBANO I,MELCHOR OCAMPO,1233,45070,zapopan,EL COLLY URBANO I MELCHOR OCAMPO 1233 45070 zapopan,20.6431926,-103.4295033
DIVISION DEL NORTE,BENEDICTO LOPEZ,399,44230,Guadalajara,DIVISION DEL NORTE BENEDICTO LOPEZ 399 44230 Guadalajara,20.7233681,-103.3372547
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,PROGRESO FRANCISCO SARAB 235 44730 Guadalajara,20.6751707,-103.3473385
GENERAL REAL,MARCONI,17,44400,Guadalajara,GENERAL REAL MARCONI 17 44400 Guadalajara,20.6682224,-103.3241833
MESA COLORADA PTE,DELLI,1825,45189,zapopan,MESA COLORADA PTE DELLI 1825 45189 zapopan,20.7705003,-103.3479558
BEATRIZ HERNANDEZ,MARGARITA GUTIE,3497,44760,Guadalajara,BEATRIZ HERNANDEZ MARGARITA GUTIE 3497 44760 Guadalajara,20.6814629,-103.2848051
REAL DE VALDEPE?S,CALLE G 1470 TO,1470,45130,zapopan,REAL DE VALDEPE?S CALLE G 1470 TO 1470 45130 zapopan,20.749249,-103.3991666
LA ESPERANZA,IGUALDAD,186,44300,Guadalajara,LA ESPERANZA IGUALDAD 186 44300 Guadalajara,20.7124734,-103.309643
VALLE REAL,AV RAMON CORONA,2748,45019,zapopan,VALLE REAL AV RAMON CORONA 2748 45019 zapopan,20.7328089,-103.4599375
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,RESIDENCIAL LA CRUZ ISLA ABACO 3086 44950 Guadalajara,20.6372977,-103.3783132
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,MIRAVALLE JOSE JARAMILLO 526 44990 Guadalajara,20.6155611,-103.3527505
RINCONADA DE HUENTITAN,JUAN CARRASCO,5234,44250,Guadalajara,RINCONADA DE HUENTITAN JUAN CARRASCO 5234 44250 Guadalajara,20.733417,-103.321824
RINCONADA DEL BOSQUE,AV ECONOMOS,6951,44510,Guadalajara,RINCONADA DEL BOSQUE AV ECONOMOS 6951 44510 Guadalajara,20.6635442,-103.448633
UNIDAD BELISARIO DOM,JOSE LUIS MORA,1212,44329,Guadalajara,UNIDAD BELISARIO DOM JOSE LUIS MORA 1212 44329 Guadalajara,20.6848023,-103.3217926
VILLA FONTANA DIAMANTE,ARENISCA,1896,45200,zapopan,VILLA FONTANA DIAMANTE ARENISCA 1896 45200 zapopan,20.7769516,-103.4712628
LOMAS DE POLANCO,JOSE CARRILLO,3528,44960,Guadalajara,LOMAS DE POLANCO JOSE CARRILLO 3528 44960 Guadalajara,20.6243897,-103.3822922
PRADOS GUADALUPE,G ROSSINI,428,45030,zapopan,PRADOS GUADALUPE G ROSSINI 428 45030 zapopan,20.6734682,-103.4204738
LOS ROBLES,CALLE LOS ROBLE,395,45134,zapopan,LOS ROBLES CALLE LOS ROBLE 395 45134 zapopan,20.76045,-103.4237244
CANTARRANAS,MIGUEL BERNAL,3327,44829,Guadalajara,CANTARRANAS MIGUEL BERNAL 3327 44829 Guadalajara,20.6588519,-103.2912823
ZALATE II,OTILIO GONZALEZ,1116,44760,Guadalajara,ZALATE II OTILIO GONZALEZ 1116 44760 Guadalajara,20.6793445,-103.2748488
RESIDENCIAL TESISTAN,AV SAN MATEO,1115,45200,zapopan,RESIDENCIAL TESISTAN AV SAN MATEO 1115 45200 zapopan,20.7943588,-103.4682866
FRACC MIRADOR D SN I,AV INDUSTRIA TE,2030,45133,zapopan,FRACC MIRADOR D SN I AV INDUSTRIA TE 2030 45133 zapopan,20.758156,-103.3867654
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,zapopan,RESID LAS ARBOLEDAS AURORA BOREAL N 4170 45070 zapopan,20.6282613,-103.4283633
FRACC REAL DEL BOSQUE,CALLE CAMPO REA,371,45130,zapopan,FRACC REAL DEL BOSQUE CALLE CAMPO REA 371 45130 zapopan,20.7521489,-103.3924863
RESIDENC LA ESTANCIA,WOLFANG AMADEUS,5552,45030,zapopan,RESIDENC LA ESTANCIA WOLFANG AMADEUS 5552 45030 zapopan,20.6733758,-103.4280012
SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,SANTA TERESITA ALFREDO CHAVERO 16 44600 Guadalajara,20.6837463,-103.3687217
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,SAN ANDRES GOMEZ FARIAS 2319 44810 Guadalajara,20.6625598,-103.3068097
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,SANTA ELENA ASTURIAS 1581 44230 Guadalajara,20.714497,-103.3376018
VILLA UNIVESITARIA,AV PATRIA,1446,45110,zapopan,VILLA UNIVESITARIA AV PATRIA 1446 45110 zapopan,20.6973658,-103.4155417
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,VISTA HERMOSA AV VISTA HERMO 3763 45189 zapopan,20.7617597,-103.3348175
REAL DE VALDEPE?S,ALAMBIQUE,51,45130,zapopan,REAL DE VALDEPE?S ALAMBIQUE 51 45130 zapopan,20.7561115,-103.4015168
JARDINES DEL NILO,HERNANDO ALVARA,3254,44860,Guadalajara,JARDINES DEL NILO HERNANDO ALVARA 3254 44860 Guadalajara,20.6492259,-103.287272
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,LADRON DE GUEVARA AVENIDA MEXICO 2582 44600 Guadalajara,20.6800329,-103.3822859
INF LA TUZANIA,AV DE LAS PALME,1246,45138,zapopan,INF LA TUZANIA AV DE LAS PALME 1246 45138 zapopan,20.7344059,-103.4157484
PARQUES DE ZAPOPAN,OPALO,14,45138,zapopan,PARQUES DE ZAPOPAN OPALO 14 45138 zapopan,20.747504,-103.4189965
LOMAS DL PARAISO 1,RAFAEL CARDENAS,290,44250,Guadalajara,LOMAS DL PARAISO 1 RAFAEL CARDENAS 290 44250 Guadalajara,20.7248011,-103.3191934
U. H. BENITO JUAREZ II,CREDITO,4049,44770,Guadalajara,U. H. BENITO JUAREZ II CREDITO 4049 44770 Guadalajara,20.6727086,-103.2764487
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,SAN ANDRES AVELINO M PRESA 3335 44810 Guadalajara,20.6611419,-103.2904612
RESIDENCIAL AZALEAS,SERVIDOR PUBLIC,1425,45230,zapopan,RESIDENCIAL AZALEAS SERVIDOR PUBLIC 1425 45230 zapopan,20.7333729,-103.4282578
MORELOS,CISNE,1332,44910,Guadalajara,MORELOS CISNE 1332 44910 Guadalajara,20.6517869,-103.3572848
SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,SANTA MARIA SAN MATEO 1407 44350 Guadalajara,20.687991,-103.315718
MODERNA,AV ESPANA,1092,44190,Guadalajara,MODERNA AV ESPANA 1092 44190 Guadalajara,20.6592017,-103.3525373
PASEOS DEL SOL,TOMAS BALCAZAR,5404,45079,zapopan,PASEOS DEL SOL TOMAS BALCAZAR 5404 45079 zapopan,20.6371278,-103.4270208
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,PENAL PEDRO CELESTINO 482 44730 Guadalajara,20.6731521,-103.3081996
VALLE REAL,PASEO SAN ARTUR,685,45019,zapopan,VALLE REAL PASEO SAN ARTUR 685 45019 zapopan,20.724178,-103.4464948
TETLAN,JOSE RAMOS,4342,44820,Guadalajara,TETLAN JOSE RAMOS 4342 44820 Guadalajara,20.6607945,-103.2718488
TETLAN,GIGANTES,108,44820,Guadalajara,TETLAN GIGANTES 108 44820 Guadalajara,20.6620349,-103.2728412
LA MOJONERA,DE BARAJAS,425,45134,zapopan,LA MOJONERA DE BARAJAS 425 45134 zapopan,20.6719563,-103.416501
AGRICOLA,DALIA,138,45236,zapopan,AGRICOLA DALIA 138 45236 zapopan,20.6166871,-103.4323929
BATALLON SN PATRICIO,CALZADA INDEPEN,503,44300,Guadalajara,BATALLON SN PATRICIO CALZADA INDEPEN 503 44300 Guadalajara,20.6856139,-103.3364619
FRACC CUSPIDE,VALLE DE TESIST,198,45200,zapopan,FRACC CUSPIDE VALLE DE TESIST 198 45200 zapopan,20.7959102,-103.4822055
U H LAZARO CARDENAS,OTHON BLANCO CA,4087,44490,Guadalajara,U H LAZARO CARDENAS OTHON BLANCO CA 4087 44490 Guadalajara,20.6751707,-103.3473385
AGRICOLA,OBELISCO,138,45236,zapopan,AGRICOLA OBELISCO 138 45236 zapopan,20.6193793,-103.4352826
RINCONADA DL AUDITOR,ALBERTO CINTA,39,45180,zapopan,RINCONADA DL AUDITOR ALBERTO CINTA 39 45180 zapopan,20.7367659,-103.3425616
EL CENTINELA 2,HIDALGO,310,45187,zapopan,EL CENTINELA 2 HIDALGO 310 45187 zapopan,20.7588184,-103.3796682
VALLE DE LOS MOLINOS,BERNA,75,45200,zapopan,VALLE DE LOS MOLINOS BERNA 75 45200 zapopan,20.8557347,-103.4231866
EL ARENAL,CUAUHTEMOC,132,45350,zapopan,EL ARENAL CUAUHTEMOC 132 45350 zapopan,20.6719563,-103.416501
OBLATOS PONIENTE,HACIENDA DE LAS,2299,44700,Guadalajara,OBLATOS PONIENTE HACIENDA DE LAS 2299 44700 Guadalajara,20.6958496,-103.2980962
JARDINES DEL VERGEL,JARDIN DE NARDO,1527,45180,zapopan,JARDINES DEL VERGEL JARDIN DE NARDO 1527 45180 zapopan,20.7536599,-103.3710032
NUEVO MEXICO,2024-01-06 00:00:00,3239,45138,zapopan,NUEVO MEXICO 45297 3239 45138 zapopan,20.7690198,-103.4539176
VISTA HERMOSA,VISTA BONITA,739,45189,zapopan,VISTA HERMOSA VISTA BONITA 739 45189 zapopan,20.7619353,-103.3337076
ARENALES TAPATIOS,DIAMANTE,114,45066,zapopan,ARENALES TAPATIOS DIAMANTE 114 45066 zapopan,20.6340268,-103.4564321
EL CARMEN,FRANCISCO MARCO,2616,44980,Guadalajara,EL CARMEN FRANCISCO MARCO 2616 44980 Guadalajara,20.6178521,-103.3803903
